periode,indeks
1978-01,20.4
1978-02,20.4
1978-03,20.4
1978-04,20.6
1978-05,20.6
1978-06,20.7
1978-07,20.7
1978-08,20.7
1978-09,20.7
1978-10,20.8
1978-11,20.8
1978-12,20.8
1979-01,20.8
1979-02,20.9
1979-03,21.0
1979-04,21.0
1979-05,21.1
1979-06,21.1
1979-07,21.1
1979-08,21.2
1979-09,21.2
1979-10,21.4
1979-11,21.5
1979-12,21.5
1980-01,21.7
1980-02,21.8
1980-03,22.1
1980-04,22.5
1980-05,22.7
1980-06,22.9
1980-07,23.1
1980-08,23.4
1980-09,23.5
1980-10,23.6
1980-11,23.7
1980-12,23.8
1981-01,23.9
1981-02,24.1
1981-03,24.3
1981-04,24.9
1981-05,25.0
1981-06,25.2
1981-07,25.4
1981-08,25.5
1981-09,25.6
1981-10,25.6
1981-11,25.8
1981-12,25.9
1982-01,26.1
1982-02,26.5
1982-03,26.7
1982-04,27.2
1982-05,27.4
1982-06,27.4
1982-07,27.5
1982-08,27.6
1982-09,27.8
1982-10,28.0
1982-11,28.1
1982-12,28.2
1983-01,28.5
1983-02,28.5
1983-03,28.6
1983-04,28.8
1983-05,28.9
1983-06,29.0
1983-07,29.2
1983-08,29.3
1983-09,29.4
1983-10,29.5
1983-11,29.6
1983-12,29.6
1984-01,29.8
1984-02,29.9
1984-03,30.0
1984-04,30.3
1984-05,30.3
1984-06,30.4
1984-07,30.5
1984-08,30.6
1984-09,30.7
1984-10,30.8
1984-11,30.9
1984-12,30.9
1985-01,31.2
1985-02,31.4
1985-03,31.5
1985-04,31.5
1985-05,31.7
1985-06,31.8
1985-07,32.0
1985-08,32.0
1985-09,32.2
1985-10,32.3
1985-11,32.3
1985-12,32.4
1986-01,32.7
1986-02,32.9
1986-03,33.1
1986-04,33.6
1986-05,33.8
1986-06,34.2
1986-07,34.6
1986-08,34.7
1986-09,34.9
1986-10,35.0
1986-11,35.2
1986-12,35.4
1987-01,36.8
1987-02,37.3
1987-03,37.4
1987-04,37.7
1987-05,37.9
1987-06,38.0
1987-07,38.2
1987-08,38.5
1987-09,38.8
1987-10,39.2
1987-11,39.5
1987-12,39.8
1988-01,40.3
1988-02,40.9
1988-03,41.4
1988-04,41.7
1988-05,41.7
1988-06,42.2
1988-07,42.3
1988-08,42.4
1988-09,42.5
1988-10,42.8
1988-11,42.9
1988-12,43.1
1989-01,43.4
1989-02,43.4
1989-03,43.4
1989-04,44.2
1989-05,44.4
1989-06,44.4
1989-07,44.4
1989-08,44.4
1989-09,44.4
1989-10,44.4
1989-11,44.4
1989-12,44.4
1990-01,44.6
1990-02,44.8
1990-03,44.8
1990-04,45.3
1990-05,45.3
1990-06,45.4
1990-07,45.5
1990-08,45.6
1990-09,45.6
1990-10,45.7
1990-11,45.7
1990-12,45.7
1991-01,45.9
1991-02,46.2
1991-03,46.4
1991-04,47.0
1991-05,47.0
1991-06,47.1
1991-07,47.1
1991-08,47.1
1991-09,47.1
1991-10,47.2
1991-11,47.2
1991-12,47.2
1992-01,47.3
1992-02,47.3
1992-03,47.3
1992-04,47.3
1992-05,47.3
1992-06,47.3
1992-07,47.3
1992-08,47.3
1992-09,47.4
1992-10,47.5
1992-11,47.6
1992-12,47.6
1993-01,47.4
1993-02,47.6
1993-03,47.6
1993-04,47.8
1993-05,47.8
1993-06,47.8
1993-07,47.8
1993-08,47.8
1993-09,47.8
1993-10,47.8
1993-11,47.9
1993-12,47.9
1994-01,48.0
1994-02,48.0
1994-03,48.0
1994-04,48.3
1994-05,48.9
1994-06,49.1
1994-07,49.2
1994-08,49.5
1994-09,49.6
1994-10,49.7
1994-11,49.8
1994-12,49.8
1995-01,50.0
1995-02,50.5
1995-03,50.8
1995-04,51.2
1995-05,51.2
1995-06,51.2
1995-07,51.3
1995-08,51.3
1995-09,51.3
1995-10,51.3
1995-11,51.3
1995-12,51.3
1996-01,51.5
1996-02,51.5
1996-03,51.6
1996-04,52.0
1996-05,52.0
1996-06,52.0
1996-07,52.0
1996-08,52.0
1996-09,52.1
1996-10,52.2
1996-11,52.2
1996-12,52.3
1997-01,52.3
1997-02,52.4
1997-03,52.5
1997-04,52.9
1997-05,52.9
1997-06,53.0
1997-07,53.0
1997-08,53.0
1997-09,53.1
1997-10,53.2
1997-11,53.2
1997-12,53.3
1998-01,53.4
1998-02,53.6
1998-03,53.7
1998-04,54.4
1998-05,54.6
1998-06,54.6
1998-07,54.7
1998-08,54.7
1998-09,54.8
1998-10,55.5
1998-11,55.5
1998-12,55.5
1999-01,55.6
1999-02,55.7
1999-03,55.8
1999-04,55.8
1999-05,55.9
1999-06,55.9
1999-07,55.9
1999-08,56.0
1999-09,56.3
1999-10,56.3
1999-11,56.5
1999-12,57.0
2000-01,57.2
2000-02,57.5
2000-03,57.6
2000-04,57.7
2000-05,57.7
2000-06,57.9
2000-07,58.1
2000-08,58.2
2000-09,58.8
2000-10,59.0
2000-11,59.1
2000-12,59.7
2001-01,60.2
2001-02,60.4
2001-03,60.6
2001-04,60.7
2001-05,60.8
2001-06,60.9
2001-07,61.1
2001-08,61.1
2001-09,61.5
2001-10,61.6
2001-11,61.6
2001-12,62.2
2002-01,62.3
2002-02,62.6
2002-03,62.8
2002-04,62.9
2002-05,63.1
2002-06,63.1
2002-07,63.2
2002-08,63.7
2002-09,63.7
2002-10,63.8
2002-11,63.9
2002-12,64.6
2003-01,64.9
2003-02,65.7
2003-03,65.7
2003-04,65.5
2003-05,65.3
2003-06,65.2
2003-07,65.1
2003-08,65.4
2003-09,65.5
2003-10,65.7
2003-11,65.6
2003-12,66.1
2004-01,66.4
2004-02,66.5
2004-03,66.8
2004-04,67.1
2004-05,67.3
2004-06,67.7
2004-07,68.0
2004-08,68.1
2004-09,68.3
2004-10,68.5
2004-11,68.6
2004-12,69.2
2005-01,69.4
2005-02,69.6
2005-03,69.8
2005-04,69.8
2005-05,70.1
2005-06,70.2
2005-07,70.3
2005-08,70.5
2005-09,70.7
2005-10,70.8
2005-11,71.6
2005-12,71.7
2006-01,71.8
